STATE,Age,Total,Total Registered,Percent registered (18+),CI Registered,Total Voted,Percent voted (18+),CI Voted,Year
US,Total,235248,153157,65.1,0.3,132948,56.5,0.3,2012
US,18 to 24,29878,14766,49.4,0.8,11353,38,0.8,2012
US,25 to 34,41146,23435,57,0.7,18977,46.1,0.7,2012
US,35 to 44,39624,24461,61.7,0.7,20965,52.9,0.7,2012
US,45 to 64,82087,57795,70.4,0.4,52013,63.4,0.5,2012
US,65+,42514,32699,76.9,0.6,29641,69.7,0.6,2012
ALABAMA,Total,3594,2556,71.1,2.2,2154,59.9,2.4,2012
ALABAMA,18 to 24,439,212,48.3,7,155,35.3,6.7,2012
ALABAMA,25 to 34,576,359,62.4,6,271,47,6.1,2012
ALABAMA,35 to 44,615,410,66.7,5.6,330,53.7,5.9,2012
ALABAMA,45 to 64,1297,1051,81,3.2,939,72.4,3.7,2012
ALABAMA,65+,667,523,78.5,4.7,459,68.8,5.3,2012
ALASKA,Total,516,361,69.9,2.4,289,56,2.6,2012
ALASKA,18 to 24,63,31,(B),(B),20,(B),(B),2012
ALASKA,25 to 34,109,70,64,5.4,46,42.6,5.6,2012
ALASKA,35 to 44,86,60,70.2,5.8,50,58.6,6.3,2012
ALASKA,45 to 64,186,144,77.6,3.6,122,65.7,4.1,2012
ALASKA,65+,72,55,(B),(B),51,(B),(B),2012
ARIZONA,Total,4863,2812,57.8,2.1,2412,49.6,2.2,2012
ARIZONA,18 to 24,586,301,51.4,6.2,234,40,6.1,2012
ARIZONA,25 to 34,859,399,46.5,5.1,289,33.7,4.8,2012
ARIZONA,35 to 44,870,437,50.2,5.1,382,43.9,5,2012
ARIZONA,45 to 64,1656,1015,61.3,3.6,901,54.4,3.7,2012
ARIZONA,65+,892,659,73.9,4.4,606,67.9,4.7,2012
ARKANSAS,Total,2198,1376,62.6,2.4,1124,51.1,2.5,2012
ARKANSAS,18 to 24,288,126,43.8,6.9,70,24.3,6,2012
