State,Race and Hispanic origin,Total Population,Total Citizen Population,"Percent registered
(Citizen)",Margin of Error1,Total registered,"Percent registered
(Total)",Margin of Error,Total voted,"Percent voted
(Total)",Margin of Error,Year
UNITED STATES,Total,"239,874","219,941",64.6,0.3,"142,166",59.3,0.3,"92,251",38.5,0.3,2014
UNITED STATES,Male,"115,637","105,299",62.8,0.4,"66,147",57.2,0.4,"43,009",37.2,0.4,2014
UNITED STATES,Female,"124,237","114,642",66.3,0.4,"76,019",61.2,0.4,"49,243",39.6,0.4,2014
UNITED STATES,White alone,"189,331","175,909",65.9,0.3,"115,998",61.3,0.3,"76,366",40.3,0.3,2014
UNITED STATES,.White non-Hispanic alone,"156,438","153,750",68.1,0.3,"104,664",66.9,0.3,"70,351",45,0.4,2014
UNITED STATES,Black alone,"29,668","27,908",63.4,1,"17,700",59.7,1,"11,078",37.3,1,2014
UNITED STATES,Asian alone,"13,495","9,504",48.8,1.5,"4,642",34.4,1.8,"2,575",19.1,1.2,2014
UNITED STATES,Hispanic (of any race),"36,802","25,092",51.3,1.1,"12,862",34.9,1.4,"6,775",18.4,0.9,2014
UNITED STATES,White alone or in combination,"192,804","179,103",65.9,0.3,"117,978",61.2,0.3,"77,472",40.2,0.3,2014
UNITED STATES,Black alone or in combination,"31,078","29,222",63,0.9,"18,422",59.3,1,"11,469",36.9,0.9,2014
UNITED STATES,Asian alone or in combination,"14,367","10,332",50,1.4,"5,166",36,1.7,"2,883",20.1,1.2,2014
ALABAMA,Total,"3,656","3,519",67.2,2.4,"2,366",64.7,2.4,"1,497",40.9,2.4,2014
ALABAMA,Male,"1,734","1,642",64.7,3.5,"1,063",61.3,3.5,677,39,3.5,2014
ALABAMA,Female,"1,922","1,877",69.4,3.2,"1,303",67.8,3.2,820,42.6,3.4,2014
ALABAMA,White alone,"2,586","2,503",67.9,2.8,"1,700",65.8,2.8,"1,045",40.4,2.9,2014
ALABAMA,.White non-Hispanic alone,"2,478","2,473",68.2,2.8,"1,686",68,2.8,"1,045",42.2,3,2014
ALABAMA,Black alone,922,910,65.4,5.7,596,64.6,5.7,414,44.9,5.9,2014
ALABAMA,Asian alone,51,23,(B),(B),17,(B),(B),9,(B),(B),2014
ALABAMA,Hispanic (of any race),136,41,(B),(B),17,(B),(B),3,(B),(B),2014
ALABAMA,White alone or in combination,"2,660","2,572",67.9,2.7,"1,746",65.6,2.7,"1,071",40.2,2.8,2014
ALABAMA,Black alone or in combination,937,925,65.3,5.6,604,64.5,5.7,414,44.2,5.9,2014
ALABAMA,Asian alone or in combination,51,23,(B),(B),17,(B),(B),9,(B),(B),2014
ALASKA,Total,521,503,66.8,2.5,336,64.6,2.5,255,49,2.6,2014
ALASKA,Male,264,256,65.7,3.5,168,63.8,3.5,128,48.4,3.7,2014
ALASKA,Female,257,247,68,3.5,168,65.4,3.5,127,49.6,3.7,2014
ALASKA,White alone,340,331,70.7,3,234,68.9,3,188,55.5,3.2,2014
ALASKA,.White non-Hispanic alone,318,312,71.4,3.1,223,70.1,3,181,56.8,3.3,2014
ALASKA,Black alone,18,18,(B),(B),9,(B),(B),6,(B),(B),2014
ALASKA,Asian alone,28,21,(B),(B),8,(B),(B),7,(B),(B),2014
ALASKA,Hispanic (of any race),28,24,(B),(B),12,(B),(B),8,(B),(B),2014
ALASKA,White alone or in combination,360,350,70,2.9,245,68.2,2.9,196,54.6,3.1,2014
ALASKA,Black alone or in combination,21,20,(B),(B),11,(B),(B),8,(B),(B),2014
ALASKA,Asian alone or in combination,32,25,(B),(B),11,(B),(B),9,(B),(B),2014
ARIZONA,Total,"4,994","4,397",62.3,2.1,"2,738",54.8,2.2,"1,785",35.7,2.1,2014
ARIZONA,Male,"2,423","2,133",61.4,3.1,"1,309",54,3.2,823,34,2.9,2014
ARIZONA,Female,"2,571","2,264",63.1,3,"1,430",55.6,3.1,961,37.4,2.9,2014
ARIZONA,White alone,"4,226","3,742",63.8,2.3,"2,386",56.5,2.4,"1,583",37.5,2.3,2014
ARIZONA,.White non-Hispanic alone,"2,743","2,694",65.2,2.8,"1,757",64.1,2.8,"1,250",45.6,2.9,2014
ARIZONA,Black alone,215,199,60.3,12.4,120,55.9,12.7,66,30.8,11.5,2014
ARIZONA,Asian alone,189,98,39.3,11.2,39,20.4,18.8,20,10.6,8.6,2014
ARIZONA,Hispanic (of any race),"1,580","1,145",60,5.9,687,43.5,6.9,364,23.1,5,2014
ARIZONA,White alone or in combination,"4,315","3,827",63.4,2.3,"2,425",56.2,2.4,"1,614",37.4,2.2,2014
ARIZONA,Black alone or in combination,248,229,52.4,11.6,120,48.5,12.1,66,26.7,10.3,2014
ARIZONA,Asian alone or in combination,205,115,41.7,11.3,48,23.3,17.6,25,12,8.7,2014
ARKANSAS,Total,"2,189","2,057",62.8,2.5,"1,292",59,2.6,798,36.5,2.5,2014
ARKANSAS,Male,"1,058",993,59.6,3.7,592,55.9,3.7,364,34.4,3.5,2014
ARKANSAS,Female,"1,131","1,064",65.8,3.5,700,61.9,3.5,434,38.3,3.5,2014
ARKANSAS,White alone,"1,763","1,680",64,2.8,"1,076",61,2.8,661,37.5,2.8,2014
ARKANSAS,.White non-Hispanic alone,"1,645","1,633",64.8,2.8,"1,058",64.3,2.8,647,39.3,2.9,2014
ARKANSAS,Black alone,307,303,60.7,8.1,184,60,8.1,116,37.7,8,2014
ARKANSAS,Asian alone,54,28,(B),(B),8,(B),(B),2,(B),(B),2014
