STATE,Age,Total,Total Registered,Percent registered (18+),CI Registered,Total Voted,Percent voted (18+),CI Voted,Year
UNITED STATES,Total,197005,142070,65.9,0.3,125736,58.3,0.3,2004
UNITED STATES,.18 to 24,24899,14334,51.5,0.8,11639,41.9,0.8,2004
UNITED STATES,.25 to 44,71231,49371,60.1,0.5,42845,52.2,0.5,2004
UNITED STATES,.45 to 64,67184,51659,72.7,0.5,47327,66.6,0.5,2004
UNITED STATES,.65 to 74,17759,14125,76.9,0.9,13010,70.8,0.9,2004
UNITED STATES,.75+,15933,12581,76.8,0.9,10915,66.7,1,2004
ALABAMA,.Total,3257,2418,72.6,2.1,2060,61.8,2.3,2004
ALABAMA,.18 to 24,387,211,51.1,6.7,173,42,6.6,2004
ALABAMA,.25 to 44,1185,832,68.1,3.6,685,56,3.9,2004
ALABAMA,.45 to 64,1121,888,78.5,3.3,797,70.5,3.7,2004
ALABAMA,.65 to 74,311,284,91.3,4.4,247,79.2,6.3,2004
ALABAMA,.75+,254,203,79.9,6.9,158,62.2,8.3,2004
ALASKA,.Total,435,333,,,293,,,2004
ALASKA,.18 to 24,58,37,(B),(B),31,(B),(B),2004
ALASKA,.25 to 44,167,125,70.5,3.3,107,60.2,3.6,2004
ALASKA,.45 to 64,163,135,81.4,3,122,73.8,3.3,2004
ALASKA,.65 to 74,30,23,(B),(B),22,(B),(B),2004
ALASKA,.75+,17,13,(B),(B),11,(B),(B),2004
ARIZONA,.Total,3508,2485,60.3,2.3,2239,54.3,2.3,2004
ARIZONA,.18 to 24,436,249,47.8,6.6,184,35.2,6.3,2004
ARIZONA,.25 to 44,1256,819,50.7,3.8,708,43.8,3.7,2004
ARIZONA,.45 to 64,1189,960,71.7,3.7,914,68.3,3.9,2004
ARIZONA,.65 to 74,344,248,68.2,7.4,239,65.8,7.5,2004
ARIZONA,.75+,283,209,74,7.9,194,68.7,8.4,2004
ARKANSAS,.Total,1942,1328,66.1,2.4,1140,56.7,2.5,2004
ARKANSAS,.18 to 24,236,117,45.5,7,85,32.9,6.6,2004
ARKANSAS,.25 to 44,689,442,60.9,4.1,366,50.4,4.2,2004
ARKANSAS,.45 to 64,680,504,73.3,3.8,442,64.3,4.1,2004
ARKANSAS,.65 to 74,178,134,75.2,7.3,126,70.9,7.7,2004
ARKANSAS,.75+,159,131,82,6.9,121,75.7,7.7,2004
CALIFORNIA,.Total,20693,14193,54.4,1.1,12807,49.1,1.1,2004
CALIFORNIA,.18 to 24,2659,1447,43,2.9,1194,35.5,2.8,2004
CALIFORNIA,.25 to 44,7596,4912,45.5,1.7,4327,40.1,1.6,2004
CALIFORNIA,.45 to 64,7047,5224,63.4,1.8,4818,58.5,1.9,2004
CALIFORNIA,.65 to 74,1829,1400,69.8,3.5,1343,66.9,3.6,2004
CALIFORNIA,.75+,1561,1209,71.5,3.8,1125,66.5,4,2004
COLORADO,.Total,3109,2307,67.9,1.9,2097,61.7,1.9,2004
COLORADO,.18 to 24,429,266,55.6,5.2,212,44.2,5.2,2004
COLORADO,.25 to 44,1198,837,60.5,3,758,54.8,3.1,2004
COLORADO,.45 to 64,1085,872,77.1,2.9,825,73,3.1,2004
COLORADO,.65 to 74,229,187,80,6,177,75.7,6.5,2004
COLORADO,.75+,169,144,84.4,6.4,125,73.2,7.8,2004
CONNECTICUT,.Total,2409,1695,65,2,1524,58.5,2,2004
CONNECTICUT,.18 to 24,278,135,44.6,6,114,37.9,5.8,2004
CONNECTICUT,.25 to 44,819,525,55.6,3.4,460,48.7,3.4,2004
CONNECTICUT,.45 to 64,855,673,75.4,3,623,69.8,3.2,2004
CONNECTICUT,.65 to 74,189,149,75.9,6.4,138,70.4,6.8,2004
CONNECTICUT,.75+,269,214,78.5,5.2,189,69.4,5.8,2004
DELAWARE,.Total,579,415,67.7,2.3,385,62.8,2.3,2004
DELAWARE,.18 to 24,67,37,(B),(B),29,(B),(B),2004
DELAWARE,.25 to 44,207,139,60.6,3.9,130,56.5,3.9,2004
DELAWARE,.45 to 64,192,148,75.7,3.7,139,71.3,3.9,2004
DELAWARE,.65 to 74,61,48,(B),(B),46,(B),(B),2004
DELAWARE,.75+,52,44,(B),(B),41,(B),(B),2004
DISTRICT OF COLUMBIA,.Total,390,293,67.4,2.4,270,62,2.5,2004
DISTRICT OF COLUMBIA,.18 to 24,48,29,(B),(B),26,(B),(B),2004
DISTRICT OF COLUMBIA,.25 to 44,161,125,65,3.6,118,61.5,3.7,2004
DISTRICT OF COLUMBIA,.45 to 64,123,97,73.8,4,91,69.1,4.3,2004
DISTRICT OF COLUMBIA,.65 to 74,28,21,(B),(B),18,(B),(B),2004
DISTRICT OF COLUMBIA,.75+,31,22,(B),(B),17,(B),(B),2004
FLORIDA,.Total,11469,8219,62.6,1.3,7372,56.1,1.3,2004
