STATE,Age,Total,Total Registered,Percent registered (18+),CI Registered,Total Voted,Percent voted (18+),CI Voted,Year
UNITED STATES,Total,186366,129549,63.9,0.3,110826,54.7,0.3,2000
UNITED STATES,.18 to 24,23915,12122,45.4,0.9,8635,32.3,0.9,2000
UNITED STATES,.25 to 44,72668,48769,59.6,0.5,40738,49.8,0.5,2000
UNITED STATES,.45 to 64,57968,43710,71.2,0.5,39301,64.1,0.6,2000
UNITED STATES,.65 to 74,17233,13573,76.2,0.9,12450,69.9,1,2000
UNITED STATES,.75+,14582,11375,76.1,1,9702,64.9,1.2,2000
ALABAMA,.Total,3233,2411,73.6,2.3,1953,59.6,2.6,2000
ALABAMA,.18 to 24,418,226,52.5,7.2,168,39,7,2000
ALABAMA,.25 to 44,1258,939,73.3,3.7,759,59.3,4.1,2000
ALABAMA,.45 to 64,1056,834,78.4,3.8,701,65.9,4.4,2000
ALABAMA,.65 to 74,282,221,78.1,7.4,183,64.9,8.5,2000
ALABAMA,.75+,219,192,86.6,6.9,142,64.4,9.6,2000
ALASKA,.Total,399,299,72.5,2.6,270,65.5,2.7,2000
ALASKA,.18 to 24,55,31,(B),(B),25,(B),(B),2000
ALASKA,.25 to 44,176,136,74.5,3.8,124,67.8,4,2000
ALASKA,.45 to 64,141,110,76.4,4.1,101,69.7,4.5,2000
ALASKA,.65 to 74,17,14,(B),(B),13,(B),(B),2000
ALASKA,.75+,9,8,(B),(B),7,(B),(B),2000
ARIZONA,.Total,3129,1879,53.3,2.5,1644,46.7,2.5,2000
ARIZONA,.18 to 24,484,167,28.7,5.5,124,21.3,5,2000
ARIZONA,.25 to 44,1124,603,45.5,4,497,37.5,3.9,2000
ARIZONA,.45 to 64,1008,716,66.1,4.2,653,60.2,4.4,2000
ARIZONA,.65 to 74,299,232,74.4,7.2,222,71.2,7.5,2000
ARIZONA,.75+,214,161,73.4,8.8,148,67.7,9.3,2000
ARKANSAS,.Total,1851,1125,59.4,2.6,936,49.4,2.6,2000
ARKANSAS,.18 to 24,242,123,49.5,7.2,88,35.4,6.9,2000
ARKANSAS,.25 to 44,612,345,54,4.5,273,42.7,4.5,2000
ARKANSAS,.45 to 64,608,406,65.9,4.4,357,58,4.5,2000
ARKANSAS,.65 to 74,203,134,66,7.6,119,58.8,7.9,2000
ARKANSAS,.75+,187,117,62.8,8.1,98,52.8,8.3,2000
CALIFORNIA,.Total,19837,13061,52.8,1.1,11489,46.4,1.1,2000
CALIFORNIA,.18 to 24,2728,1265,35.4,2.7,1015,28.4,2.5,2000
CALIFORNIA,.25 to 44,7877,4964,46.8,1.6,4169,39.3,1.6,2000
CALIFORNIA,.45 to 64,6212,4517,62.2,1.9,4160,57.3,2,2000
CALIFORNIA,.65 to 74,1707,1288,68.8,3.6,1221,65.2,3.7,2000
CALIFORNIA,.75+,1313,1026,71.2,4,924,64.1,4.3,2000
COLORADO,.Total,2854,1954,64.1,2.5,1633,53.6,2.6,2000
COLORADO,.18 to 24,399,203,47,6.9,121,28.1,6.2,2000
COLORADO,.25 to 44,1277,809,57.3,3.8,674,47.7,3.8,2000
COLORADO,.45 to 64,847,670,76.9,4.1,600,68.8,4.5,2000
COLORADO,.65 to 74,167,145,86.5,7.6,126,75.2,9.6,2000
COLORADO,.75+,164,128,76.7,9.4,112,67.6,10.4,2000
CONNECTICUT,.Total,2239,1510,62.5,2.9,1332,55.2,3,2000
CONNECTICUT,.18 to 24,220,112,47,9.6,94,39.5,9.4,2000
CONNECTICUT,.25 to 44,787,466,51.5,5,416,45.9,4.9,2000
CONNECTICUT,.45 to 64,813,595,70.8,4.7,531,63.2,5,2000
CONNECTICUT,.65 to 74,216,168,75.4,8.6,157,70.4,9.1,2000
CONNECTICUT,.75+,202,168,81.3,8.1,134,64.6,9.9,2000
DELAWARE,.Total,543,385,67.9,2.7,352,62.2,2.9,2000
DELAWARE,.18 to 24,59,26,(B),(B),23,(B),(B),2000
DELAWARE,.25 to 44,220,146,62.1,4.4,132,56,4.5,2000
DELAWARE,.45 to 64,164,131,78.3,4.5,122,73.1,4.8,2000
DELAWARE,.65 to 74,58,49,(B),(B),46,(B),(B),2000
DELAWARE,.75+,42,32,(B),(B),29,(B),(B),2000
DISTRICT OF COLUMBIA,.Total,373,295,72.4,2.7,267,65.6,2.8,2000
DISTRICT OF COLUMBIA,.18 to 24,53,30,(B),(B),25,(B),(B),2000
DISTRICT OF COLUMBIA,.25 to 44,155,120,69.7,4.2,111,64.4,4.4,2000
DISTRICT OF COLUMBIA,.45 to 64,108,93,80,4.5,86,73.9,4.9,2000
DISTRICT OF COLUMBIA,.65 to 74,28,26,(B),(B),23,(B),(B),2000
DISTRICT OF COLUMBIA,.75+,29,26,(B),(B),23,(B),(B),2000
FLORIDA,.Total,10081,7043,60.5,1.3,6006,51.6,1.4,2000
FLORIDA,.18 to 24,1176,583,41.4,3.9,416,29.5,3.6,2000
FLORIDA,.25 to 44,3462,2321,54.1,2.2,1901,44.3,2.2,2000
FLORIDA,.45 to 64,3111,2262,65.1,2.4,2005,57.7,2.5,2000
FLORIDA,.65 to 74,1178,927,73.6,3.6,844,67.1,3.9,2000
FLORIDA,.75+,1153,952,79.3,3.4,839,70,3.9,2000
GEORGIA,.Total,5553,3528,61.1,2.3,2827,49,2.3,2000
GEORGIA,.18 to 24,755,397,50.6,6.3,248,31.6,5.9,2000
GEORGIA,.25 to 44,2493,1527,57.5,3.4,1221,46,3.4,2000
GEORGIA,.45 to 64,1620,1121,68.2,4.1,932,56.7,4.3,2000
GEORGIA,.65 to 74,412,282,67.7,8.1,257,61.8,8.4,2000
GEORGIA,.75+,272,200,73.6,9.4,167,61.5,10.4,2000
HAWAII,.Total,771,402,47,3,340,39.7,3,2000
HAWAII,.18 to 24,93,28,25.3,7.4,18,16.7,6.3,2000
HAWAII,.25 to 44,297,145,44.4,4.9,119,36.4,4.7,2000
HAWAII,.45 to 64,244,143,53.3,5.4,129,47.8,5.4,2000
HAWAII,.65 to 74,79,47,(B),(B),44,(B),(B),2000
HAWAII,.75+,58,39,(B),(B),30,(B),(B),2000
IDAHO,.Total,892,569,61.4,2.4,500,53.9,2.5,2000
IDAHO,.18 to 24,148,65,42.2,6.1,53,34.4,5.9,2000
IDAHO,.25 to 44,331,202,57.4,4,168,47.8,4.1,2000
IDAHO,.45 to 64,279,198,69.4,4.2,180,63.2,4.4,2000
IDAHO,.65 to 74,73,61,(B),(B),57,(B),(B),2000
IDAHO,.75+,62,44,(B),(B),41,(B),(B),2000
ILLINOIS,.Total,8118,5911,66.7,1.5,5030,56.8,1.6,2000
ILLINOIS,.18 to 24,1059,584,48.8,4.3,427,35.6,4.1,2000
ILLINOIS,.25 to 44,3252,2315,63.2,2.4,1966,53.7,2.4,2000
ILLINOIS,.45 to 64,2450,1887,72.1,2.6,1692,64.7,2.8,2000
ILLINOIS,.65 to 74,680,575,82.3,4.3,519,74.3,4.9,2000
ILLINOIS,.75+,677,551,80.5,4.5,426,62.3,5.5,2000
INDIANA,.Total,4303,3000,68.5,2.5,2564,58.5,2.6,2000
INDIANA,.18 to 24,489,233,46.1,7.8,159,31.6,7.2,2000
INDIANA,.25 to 44,1689,1080,62.6,4.1,879,50.9,4.2,2000
INDIANA,.45 to 64,1388,1068,76,4,969,68.9,4.3,2000
INDIANA,.65 to 74,444,375,83.7,6.1,340,75.9,7.1,2000
INDIANA,.75+,293,244,82.4,7.7,217,73.2,9,2000
IOWA,.Total,2008,1524,72.2,2.5,1353,64.1,2.6,2000
IOWA,.18 to 24,243,145,54.9,7.7,114,43.1,7.6,2000
IOWA,.25 to 44,774,577,69,4,500,59.7,4.3,2000
IOWA,.45 to 64,593,475,78.1,4.2,431,70.8,4.6,2000
IOWA,.65 to 74,195,171,87.9,5.9,164,84.4,6.5,2000
IOWA,.75+,204,155,75.5,7.5,145,70.4,8,2000
KANSAS,.Total,1861,1293,67.7,2.6,1148,60.2,2.7,2000
KANSAS,.18 to 24,277,134,46.6,7.1,99,34.6,6.8,2000
KANSAS,.25 to 44,630,391,58.9,4.6,332,50.1,4.7,2000
KANSAS,.45 to 64,593,464,77.6,4.1,429,71.8,4.4,2000
