STATE,Age,Total,Total Registered,Percent registered (18+),CI Registered,Total Voted,Percent voted (18+),CI Voted,Year
UNITED STATES,Total,192656,128154,60.9,0.3,88903,42.3,0.3,2002
UNITED STATES,.18 to 24,24335,10470,38.2,0.8,4697,17.2,0.6,2002
UNITED STATES,.25 to 44,72094,45553,55.4,0.5,28019,34.1,0.5,2002
UNITED STATES,.45 to 64,63272,46430,69.4,0.5,35521,53.1,0.5,2002
UNITED STATES,.65 to 74,17415,13681,76.1,0.9,11339,63.1,1,2002
UNITED STATES,.75+,15540,12020,75.5,1,9328,58.6,1.1,2002
ALABAMA,.Total,3215,2347,72.2,2.2,1585,48.7,2.4,2002
ALABAMA,.18 to 24,385,205,51.8,6.9,102,25.7,6,2002
ALABAMA,.25 to 44,1192,846,70,3.6,559,46.2,3.9,2002
ALABAMA,.45 to 64,1108,849,76.2,3.5,626,56.1,4.1,2002
ALABAMA,.65 to 74,290,248,85,5.7,174,59.7,7.9,2002
ALABAMA,.75+,241,199,82.6,6.7,124,51.6,8.8,2002
ALASKA,.Total,418,303,69.4,2.2,230,52.6,2.3,2002
ALASKA,.18 to 24,51,24,(B),(B),14,(B),(B),2002
ALASKA,.25 to 44,171,119,66.2,3.4,79,44,3.6,2002
ALASKA,.45 to 64,157,133,81.7,3,112,69.2,3.5,2002
ALASKA,.65 to 74,24,16,(B),(B),15,(B),(B),2002
ALASKA,.75+,13,10,(B),(B),8,(B),(B),2002
ARIZONA,.Total,3293,1930,50.8,2.5,1397,36.8,2.4,2002
ARIZONA,.18 to 24,439,129,23.6,5.5,48,8.9,3.7,2002
ARIZONA,.25 to 44,1314,693,43.3,3.8,445,27.8,3.4,2002
ARIZONA,.45 to 64,987,674,62.3,4.5,530,49.1,4.6,2002
ARIZONA,.65 to 74,269,208,72.4,8,186,64.7,8.5,2002
ARIZONA,.75+,283,227,78.7,7.3,188,65.1,8.5,2002
ARKANSAS,.Total,1919,1222,62.4,2.5,888,45.3,2.5,2002
ARKANSAS,.18 to 24,206,71,31.8,7.1,29,13,5.1,2002
ARKANSAS,.25 to 44,667,391,56.8,4.3,260,37.8,4.2,2002
ARKANSAS,.45 to 64,645,443,68.5,4.1,358,55.3,4.4,2002
ARKANSAS,.65 to 74,206,164,79.4,6.4,135,65.4,7.5,2002
ARKANSAS,.75+,196,154,78.6,6.6,106,54.2,8,2002
CALIFORNIA,.Total,19642,12025,49.3,1.1,8355,34.2,1,2002
CALIFORNIA,.18 to 24,2801,1099,30.8,2.7,526,14.8,2,2002
CALIFORNIA,.25 to 44,7601,4431,43.1,1.7,2751,26.8,1.5,2002
CALIFORNIA,.45 to 64,6358,4296,57.9,2,3222,43.4,2,2002
CALIFORNIA,.65 to 74,1413,1047,67.5,4.1,892,57.5,4.3,2002
CALIFORNIA,.75+,1469,1152,72,3.9,964,60.2,4.2,2002
COLORADO,.Total,2959,1976,60.9,2,1483,45.7,2,2002
COLORADO,.18 to 24,348,174,42.7,5.7,84,20.6,4.6,2002
COLORADO,.25 to 44,1248,781,55.3,3.1,537,38,3,2002
COLORADO,.45 to 64,952,700,69.3,3.4,590,58.5,3.6,2002
COLORADO,.65 to 74,208,156,73.4,7,133,62.3,7.7,2002
