STATE,Age,Total,Total Registered,Percent registered (18+),CI Registered,Total Voted,Percent voted (18+),CI Voted,Year
UNITED STATES,Total,225499,146311,64.9,0.3,131144,58.2,0.3,2008
UNITED STATES,.18 to 25,28263,15082,53.4,0.8,12515,44.3,0.8,2008
UNITED STATES,.25 to 35,40240,22736,56.5,0.7,19501,48.5,0.7,2008
UNITED STATES,.35 to 45,41460,25449,61.4,0.7,22865,55.1,0.7,2008
UNITED STATES,.45 to 55,44181,30210,68.4,0.6,27673,62.6,0.6,2008
UNITED STATES,.55 to 65,33896,24734,73,0.7,23071,68.1,0.7,2008
UNITED STATES,.65 to 75,20227,15290,75.6,0.9,14176,70.1,0.9,2008
UNITED STATES,.75+,17231,12810,74.3,0.9,11344,65.8,1,2008
ALABAMA,.Total,3497,2438,69.7,2.3,2126,60.8,2.4,2008
ALABAMA,.18 to 25,458,301,65.7,6.5,238,51.9,6.9,2008
ALABAMA,.25 to 45,1208,724,59.9,4.2,624,51.6,4.2,2008
ALABAMA,.45 to 65,1210,895,74,3.7,809,66.9,4,2008
ALABAMA,.65 to 75,368,306,83.2,5.8,277,75.2,6.6,2008
ALABAMA,.75+,253,212,84,6.8,178,70.5,8.5,2008
ALASKA,.Total,488,345,70.8,2.4,304,62.4,2.6,2008
ALASKA,.18 to 45,253,164,65.1,3.5,138,54.8,3.7,2008
ALASKA,.45 to 65,191,148,77.6,3.6,135,70.7,3.9,2008
ALASKA,.65+,44,33,(B),(B),31,(B),(B),2008
ARIZONA,.Total,4688,2874,61.3,2.1,2497,53.3,2.2,2008
ARIZONA,.18 to 25,574,303,52.7,6.3,223,38.7,6.1,2008
ARIZONA,.25 to 45,1754,963,54.9,3.6,793,45.2,3.6,2008
ARIZONA,.45 to 65,1628,1065,65.4,3.5,996,61.2,3.6,2008
ARIZONA,.65 to 75,428,337,78.6,5.9,303,70.8,6.6,2008
ARIZONA,.75+,303,206,68,8,181,59.7,8.5,2008
ARKANSAS,.Total,2108,1317,62.5,2.5,1092,51.8,2.6,2008
ARKANSAS,.18 to 25,325,141,43.3,6.5,99,30.6,6,2008
ARKANSAS,.25 to 45,667,344,51.5,4.6,281,42.1,4.5,2008
ARKANSAS,.45 to 65,706,504,71.4,4,424,60,4.3,2008
ARKANSAS,.65 to 75,254,215,84.4,5.4,189,74.3,6.5,2008
CALIFORNIA,.Total,26993,14885,55.1,0.9,13828,51.2,0.9,2008
CALIFORNIA,.18 to 25,3622,1727,47.7,2.5,1504,41.5,2.5,2008
CALIFORNIA,.25 to 45,10518,4985,47.4,1.5,4582,43.6,1.5,2008
CALIFORNIA,.45 to 65,8888,5503,61.9,1.6,5222,58.8,1.6,2008
CALIFORNIA,.65 to 75,2134,1412,66.2,3.1,1353,63.4,3.1,2008
CALIFORNIA,.75+,1832,1257,68.6,3.3,1167,63.7,3.4,2008
COLORADO,.Total,3694,2437,66,2.3,2308,62.5,2.4,2008
COLORADO,.18 to 25,498,248,49.8,6.7,231,46.5,6.7,2008
COLORADO,.25 to 45,1397,871,62.3,3.9,808,57.8,4,2008
COLORADO,.45 to 65,1336,949,71,3.7,908,68,3.8,2008
COLORADO,.65 to 75,261,218,83.5,6.9,212,81.1,7.3,2008
COLORADO,.75+,202,151,74.8,9.2,148,73.3,9.4,2008
CONNECTICUT,.Total,2651,1761,66.4,2.5,1610,60.8,2.5,2008
CONNECTICUT,.18 to 25,322,164,50.9,7.5,143,44.4,7.4,2008
CONNECTICUT,.25 to 45,900,529,58.7,4.4,483,53.7,4.5,2008
CONNECTICUT,.45 to 65,968,691,71.3,3.9,648,67,4.1,2008
CONNECTICUT,.65 to 75,223,183,81.8,6.9,159,71.3,8.1,2008
CONNECTICUT,.75+,236,195,82.6,6.6,177,74.7,7.6,2008
DELAWARE,.Total,648,447,69.1,2.5,408,63,2.6,2008
DELAWARE,.18 to 45,297,180,60.4,3.8,162,54.4,3.9,2008
DELAWARE,.45 to 65,230,173,75.5,3.8,160,69.8,4.1,2008
DELAWARE,.65+,121,94,78.2,5.1,86,71.1,5.6,2008
DISTRICT OF COLUMBIA,.Total,469,324,69,2.6,306,65.3,2.7,2008
DISTRICT OF COLUMBIA,.18 to 45,263,177,67.2,3.5,167,63.3,3.6,2008
DISTRICT OF COLUMBIA,.45 to 65,147,103,69.6,4.6,98,66.8,4.7,2008
DISTRICT OF COLUMBIA,.65+,59,44,(B),(B),41,(B),(B),2008
FLORIDA,.Total,14069,8774,62.4,1.2,7951,56.5,1.2,2008
FLORIDA,.18 to 25,1560,832,53.3,3.7,693,44.4,3.7,2008
FLORIDA,.25 to 45,4664,2521,54.1,2.2,2246,48.1,2.2,2008
FLORIDA,.45 to 65,4913,3230,65.8,2,2993,60.9,2.1,2008
FLORIDA,.65 to 75,1563,1162,74.4,3.3,1076,68.9,3.5,2008
FLORIDA,.75+,1369,1029,75.1,3.5,943,68.9,3.7,2008
GEORGIA,.Total,7018,4624,65.9,1.7,4183,59.6,1.7,2008
GEORGIA,.18 to 25,907,491,54.1,4.9,401,44.2,4.9,2008
GEORGIA,.25 to 45,2759,1658,60.1,2.8,1498,54.3,2.8,2008
GEORGIA,.45 to 65,2433,1787,73.4,2.7,1652,67.9,2.8,2008
GEORGIA,.65 to 75,578,431,74.6,5.4,400,69.2,5.7,2008
GEORGIA,.75+,341,257,75.3,7,232,68.1,7.5,2008
HAWAII,.Total,977,522,53.5,2.5,457,46.8,2.5,2008
HAWAII,.18 to 25,122,37,30.7,6.5,27,22.4,5.9,2008
HAWAII,.25 to 45,329,148,44.9,4.3,118,35.7,4.1,2008
HAWAII,.45 to 65,343,213,62.2,4.1,198,57.6,4.2,2008
HAWAII,.65 to 75,90,58,64.6,7.9,55,61.1,8,2008
HAWAII,.75+,93,66,70.8,7.4,60,64.7,7.7,2008
IDAHO,.Total,1095,723,66,2.4,644,58.8,2.5,2008
IDAHO,.18 to 45,538,301,55.9,3.6,255,47.3,3.6,2008
IDAHO,.45 to 65,365,274,75.1,3.8,255,69.8,4,2008
IDAHO,.65+,191,147,76.9,5.1,134,70.2,5.5,2008
ILLINOIS,.Total,9521,6151,64.6,1.5,5436,57.1,1.5,2008
ILLINOIS,.18 to 25,1267,694,54.8,4.2,585,46.1,4.2,2008
ILLINOIS,.25 to 45,3502,2091,59.7,2.5,1852,52.9,2.5,2008
ILLINOIS,.45 to 65,3227,2274,70.5,2.4,2036,63.1,2.5,2008
ILLINOIS,.65 to 75,748,540,72.1,4.9,494,66,5.2,2008
ILLINOIS,.75+,777,553,71.2,4.9,469,60.4,5.3,2008
INDIANA,.Total,4686,3105,66.3,2.1,2758,58.8,2.1,2008
INDIANA,.18 to 25,522,304,58.1,6.4,222,42.6,6.4,2008
INDIANA,.25 to 45,1739,1066,61.3,3.5,955,54.9,3.6,2008
INDIANA,.45 to 65,1660,1177,70.9,3.3,1092,65.8,3.5,2008
INDIANA,.65 to 75,427,311,72.8,6.4,285,66.7,6.8,2008
INDIANA,.75+,337,247,73.3,7.2,204,60.5,7.9,2008
IOWA,.Total,2244,1630,72.6,2.4,1501,66.9,2.5,2008
IOWA,.18 to 25,248,168,67.9,7.4,147,59.2,7.8,2008
