STATE,Age,Total,Total Registered,Percent registered (18+),CI Registered,Total Voted,Percent voted (18+),CI Voted,Year
US,Total,245502,157596,64.2,0.3,137537,56,0.3,2016
US,18 to 24,29320,14905,50.8,0.9,11560,39.4,0.9,2016
US,25 to 34,43794,24682,56.4,0.7,20332,46.4,0.7,2016
US,35 to 44,39905,23948,60,0.8,20662,51.8,0.8,2016
US,45 to 64,83799,57394,68.5,0.5,51668,61.7,0.5,2016
US,65+,48684,36667,75.3,0.6,33314,68.4,0.6,2016
ALABAMA,Total,3717,2526,68,2.5,2095,56.4,2.7,2016
ALABAMA,18 to 24,513,283,55.2,7.2,212,41.4,7.1,2016
ALABAMA,25 to 34,583,393,67.5,6.3,310,53.1,6.8,2016
ALABAMA,35 to 44,566,363,64.1,6.6,306,54,6.8,2016
ALABAMA,45 to 64,1293,881,68.1,4.2,761,58.8,4.5,2016
ALABAMA,65+,761,606,79.5,4.8,507,66.5,5.6,2016
ALASKA,Total,518,358,69.1,2.6,308,59.4,2.8,2016
ALASKA,18 to 24,65,32,B,B,26,B,B,2016
ALASKA,25 to 34,113,71,62.6,5.9,58,51,6.1,2016
ALASKA,35 to 44,83,58,B,B,48,B,B,2016
ALASKA,45 to 64,180,138,77,4.1,122,67.9,4.5,2016
ALASKA,65+,77,59,B,B,54,B,B,2016
ARIZONA,Total,5196,3145,60.5,2.2,2769,53.3,2.3,2016
ARIZONA,18 to 24,735,346,47.1,6.1,263,35.8,5.9,2016
ARIZONA,25 to 34,854,460,53.9,5.7,377,44.1,5.6,2016
ARIZONA,35 to 44,776,423,54.5,5.9,349,45,5.9,2016
ARIZONA,45 to 64,1736,1143,65.9,3.8,1038,59.8,3.9,2016
ARIZONA,65+,1096,774,70.6,4.6,743,67.8,4.7,2016
ARKANSAS,Total,2216,1456,65.7,2.7,1241,56,2.8,2016
ARKANSAS,18 to 24,187,92,49.1,9.6,62,33.1,9,2016
ARKANSAS,25 to 34,409,224,54.8,6.5,173,42.3,6.4,2016
ARKANSAS,35 to 44,387,244,63.1,6.4,211,54.5,6.6,2016
ARKANSAS,45 to 64,716,503,70.2,4.5,452,63.1,4.7,2016
ARKANSAS,65+,516,392,76,4.9,343,66.6,5.5,2016
CALIFORNIA,Total,29894,16096,53.8,1,14416,48.2,1,2016
CALIFORNIA,18 to 24,3760,1656,44,2.7,1411,37.5,2.6,2016
CALIFORNIA,25 to 34,5742,2795,48.7,2.2,2379,41.4,2.2,2016
CALIFORNIA,35 to 44,5145,2412,46.9,2.3,2074,40.3,2.3,2016
CALIFORNIA,45 to 64,9835,5581,56.8,1.7,5124,52.1,1.7,2016
CALIFORNIA,65+,5412,3651,67.5,2.1,3429,63.4,2.2,2016
